name,spouse,parents,siblings,relatives,ancestors,Born,died,abilities,Bonded_with,titles,aliases,profession,groups,skills,species,residence,birthplace,religion,ethnicity,nationality,world,universe,featured_in
Adien , Parents<->Kiin/ Daora, Siblings<->Lukel/ Kaise/ Daorn, Abilities<->Elantrian, Residence<->Kae, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,
Dahad , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Dashe , Children<->Matisse, Abilities<->Elantrian, Bonded With<->Ati[1], Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Dion , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Diren , Died<->Tortured by Dilaf[1], Abilities<->Elantrian, Profession<->Farmer, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Ehelan , Profession<->Artist, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,
Ehen , Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,,
Elashe , Ancestors<->Raoshem, Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, Nationality<->Arelene, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,
Enelan , Profession<->Scholar, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,,
Eonic , Abilities<->Elantrian, Residence<->Elantris, Ethnicity<->Aonic, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
Graeo , Titles<->Count, Ethnicity<->Aonic, Nationality<->Teo, World<->Sel, Universe<->Cosmere, Featured In<->Elantris,,,,,,,,,,,,,,,,,
